dataset,stat,kind,season,level_id,pitch_tag,n_players,mu,var_obs,var_within,var_true,var_between,K,n_50,n_70,n_80
hitters,secondary_whiff_pct,rate,2018,1,,613,0.34953826018861195,0.011738617635467142,0.002545334651848387,0.009193282983618755,,23.73123749786215,23.73123749786215,55.37288749501168,94.9249499914486
hitters,secondary_whiff_pct,rate,2025,1,,597,0.32571475213917955,0.007843182619119251,0.0018229953304847197,0.006020187288634532,,35.48136542076028,35.48136542076028,82.78985264844064,141.92546168304114
hitters,secondary_whiff_pct,rate,2023,1,,600,0.33048137400300515,0.007438481874654066,0.0017874633173269525,0.005651018557327113,,38.154611367042975,38.154611367042975,89.02742652310027,152.6184454681719
hitters,whiffs_vs_95,rate,2022,11,,187,0.2429212414109339,0.01006703965042343,0.004461508330428685,0.0056055313199947455,,31.80875645566406,31.80875645566406,74.2204317298828,127.23502582265624
hitters,whiffs_vs_95,rate,2025,1,,530,0.22474230663302727,0.007574649848860742,0.0023609578174064827,0.00521369203145426,,32.41839164859428,32.41839164859428,75.64291384671999,129.67356659437712
hitters,whiffs_vs_95,rate,2025,11,,563,0.23902993632828853,0.0089791966863162,0.003772052002332549,0.005207144683983651,,33.931740311856856,33.931740311856856,79.174060727666,135.72696124742743
hitters,whiffs_vs_95,rate,2023,14,,85,0.2688403368226264,0.01110976836307511,0.006403967269030413,0.004705801094044697,,40.7708284288686,40.7708284288686,95.13193300069338,163.0833137154744
hitters,whiffs_vs_95,rate,2022,14,,106,0.2990293554364864,0.013082784414148941,0.006621189325584257,0.006461595088564684,,31.439482380237905,31.439482380237905,73.3587922205551,125.75792952095163
hitters,whiffs_vs_95,rate,2022,1,,519,0.23388514866106322,0.007922597589916579,0.002496833095819275,0.005425764494097304,,32.02444956683779,32.02444956683779,74.72371565595483,128.09779826735115
hitters,whiffs_vs_95,rate,2018,1,,483,0.22603536241382352,0.00878052497346779,0.0025899871890497977,0.006190537784417993,,27.25980285470827,27.25980285470827,63.606206660985954,109.03921141883309
hitters,whiffs_vs_95,rate,2019,1,,492,0.24402901604727015,0.009783097083260578,0.002880337549921851,0.006902759533338727,,25.7253776527027,25.7253776527027,60.025881189639634,102.90151061081082
hitters,whiffs_vs_95,rate,2023,1,,520,0.23401246560428016,0.007097352577132089,0.002505088831497077,0.004592263745635012,,38.03317437210898,38.03317437210898,88.74407353492094,152.13269748843595
hitters,whiffs_vs_95,rate,2023,11,,539,0.2478890772938762,0.008999517545236048,0.003825358801222144,0.005174158744013904,,35.03292667971647,35.03292667971647,81.7434955860051,140.13170671886587
hitters,whiffs_vs_95,rate,2017,1,,471,0.2190339675983003,0.008941041011452133,0.002590940075291084,0.006350100936161049,,25.93785348550068,25.93785348550068,60.52165813283491,103.75141394200271
hitters,whiffs_vs_95,rate,2015,1,,462,0.21219371743144616,0.007856736288131784,0.0026366555876215334,0.005220080700510251,,31.02393857584031,31.02393857584031,72.38919001029406,124.09575430336126
hitters,whiffs_vs_95,rate,2025,14,,121,0.27539165895631795,0.012308069935030714,0.006148430598707771,0.006159639336322943,,31.396554771781332,31.396554771781332,73.2586278008231,125.58621908712533
hitters,whiffs_vs_95,rate,2024,1,,511,0.22875229117730825,0.006613581306546263,0.0023061056629734896,0.004307475643572773,,39.95778944721028,39.95778944721028,93.23484204349066,159.83115778884113
hitters,whiffs_vs_95,rate,2024,11,,531,0.25341552922365657,0.010024668865851539,0.004190004180457396,0.005834664685394142,,31.426216239223365,31.426216239223365,73.32783789152118,125.70486495689346
hitters,whiffs_vs_95,rate,2020,1,,349,0.239368585058996,0.011037561316594842,0.004595087713027041,0.0064424736035678005,,27.26108056461734,27.26108056461734,63.60918798410713,109.04432225846938
hitters,whiffs_vs_95,rate,2021,1,,513,0.2410905491191674,0.008852230301291921,0.002715045153882083,0.006137185147409838,,28.8126733754815,28.8126733754815,67.22957120945684,115.25069350192601
hitters,whiffs_vs_95,rate,2024,14,,118,0.25138204830915334,0.009763474889757944,0.005741844677699236,0.004021630212058707,,45.79423621116875,45.79423621116875,106.85321782606042,183.176944844675
hitters,whiffs_vs_95,rate,2021,14,,105,0.3091952813803066,0.011396114820486473,0.006929496729474002,0.0044666180910124705,,46.819973635588646,46.819973635588646,109.24660514970682,187.27989454235458
hitters,whiffs_vs_95,rate,2016,1,,471,0.21591659352735232,0.008121275830881295,0.0026360145114103137,0.005485261319470981,,29.863911180666232,29.863911180666232,69.68245942155454,119.45564472266494
hitters,damage_rate,rate,2024,14,,264,0.055346321785416513,0.002583363348534679,0.0008851418025629945,0.0016982215459716845,,29.786976277777946,29.786976277777946,69.50294464814854,119.14790511111178
hitters,damage_rate,rate,2022,11,,313,0.09114087305398982,0.004500092713615469,0.0013228464299321731,0.0031772462836832955,,25.071071272737118,25.071071272737118,58.49916630305328,100.28428509094849
hitters,damage_rate,rate,2016,1,,602,0.07813003485787713,0.0038071141528538185,0.0008496502025854178,0.002957463950268401,,23.35388350361715,23.35388350361715,54.49239484177335,93.4155340144686
hitters,damage_rate,rate,2025,14,,249,0.066208596599257,0.004140628987688886,0.0009824877005475156,0.0031581412871413703,,18.576394060436577,18.576394060436577,43.34491947435201,74.30557624174631
hitters,damage_rate,rate,2023,14,,241,0.06279977309993172,0.003483718879109168,0.0010075518672471848,0.0024761670118619832,,22.768978956823826,22.768978956823826,53.127617565922264,91.07591582729532
hitters,damage_rate,rate,2021,14,,248,0.06902293251075606,0.003522105960960828,0.0010809839716390212,0.002441121989321807,,25.323456008941225,25.323456008941225,59.08806402086286,101.29382403576491
